seq,x,y
0,1412.324,929.911
1,1391.752,915.052
2,1370.356,901.244
3,1348.672,888.109
4,1326.775,874.764
5,1305.237,861.681
6,1283.826,848.701
7,1262.363,835.801
8,1239.758,824.378
9,1217.873,812.044
10,1197.926,796.932
11,1176.239,783.555
12,1154.664,770.707
13,1132.762,757.411
14,1110.959,744.455
15,1088.971,731.343
16,1066.538,718.829
17,1044.424,706.456
18,1021.975,694.787
19,999.679,683.186
20,977.556,671.369
21,955.301,659.754
22,932.916,648.013
23,910.668,636.476
24,888.101,624.354
25,865.860,612.431
26,843.235,600.676
27,820.737,589.201
28,798.349,577.875
29,776.100,566.091
30,761.606,545.625
31,773.763,523.566
32,786.383,501.637
33,0.000,0.000
