seq,x,y
0,1323.565,304.592
1,1319.850,329.535
2,1316.174,354.389
3,1314.693,379.725
4,1313.462,404.734
5,1331.513,422.280
6,1356.986,422.315
7,1382.084,424.400
8,1407.113,425.590
9,1432.432,426.562
10,1457.542,426.594
11,1459.657,401.681
12,1460.862,376.411
13,1461.982,351.246
14,1464.092,332.179
