seq,x,y
0,1412.324,929.911
1,1391.698,915.010
2,1370.444,901.304
3,1348.976,888.294
4,1327.378,875.136
5,1305.603,861.903
6,1284.224,848.942
7,1262.518,835.884
8,1240.157,824.582
9,1218.255,812.315
10,1198.222,797.142
11,1176.911,783.950
12,1155.413,771.166
13,1133.844,758.056
14,1112.323,745.279
15,1090.499,732.199
16,1068.462,719.910
17,1046.165,707.382
18,1023.832,695.734
19,1001.426,684.104
20,979.058,672.176
21,956.732,660.523
22,934.575,648.872
23,912.011,637.179
24,889.957,625.358
25,867.626,613.370
26,845.336,601.786
27,822.835,590.262
28,800.345,578.887
29,777.875,567.116
30,761.301,548.366
31,772.411,525.936
32,784.998,504.039
33,0.000,0.000
