seq,x,y
0,242.623,147.137
1,249.966,123.153
2,258.821,99.527
3,267.069,75.293
4,275.279,51.592
5,283.931,28.042
6,292.638,4.338
7,303.393,-18.889
8,316.319,-40.633
9,327.537,-63.361
10,349.173,-76.191
11,371.336,-64.483
12,391.995,-49.711
13,413.628,-36.627
14,435.660,-23.663
15,459.307,-32.811
16,471.520,-54.934
17,483.629,-77.427
18,495.611,-99.668
19,507.524,-121.784
20,519.495,-144.060
21,504.487,-164.201
22,482.440,-176.777
23,460.896,-190.587
24,436.228,-195.704
25,420.006,-176.185
26,402.267,-158.444
27,384.771,-139.636
28,369.652,-119.075
29,355.698,-98.268
30,348.791,-97.135
