seq,x,y
0,1412.324,929.911
1,1391.771,915.065
2,1370.469,901.320
3,1348.903,888.249
4,1327.221,875.039
5,1305.300,861.719
6,1283.541,848.528
7,1261.815,835.514
8,1239.405,824.201
9,1217.651,811.878
10,1197.682,796.758
11,1175.958,783.389
12,1154.122,770.374
13,1132.303,757.139
14,1110.522,744.191
15,1089.046,731.390
16,1067.210,719.208
17,1045.329,706.936
18,1022.535,695.079
19,1000.343,683.536
20,978.160,671.694
21,955.872,660.059
22,933.684,648.410
23,911.347,636.832
24,889.193,624.943
25,867.051,613.064
26,844.507,601.351
27,821.908,589.792
28,799.498,578.459
29,777.000,566.611
30,761.400,546.917
31,773.205,524.535
32,785.795,502.648
33,0.000,0.000
