[comm] 연결 성공 192.168.10.1:9910
[kr_rules] scoring.finish_xy 미설정 — route_total 기준으로 정지 (기존 동작)
t=  51.5  road/lane=    173/2  s_route=  306.6m  v= 0.00→ 0.00 m/s  steer=+0.037  accel=-1.00  lead
t=  52.6  road/lane=    173/2  s_route=  306.6m  v= 0.00→ 0.00 m/s  steer=+0.037  accel=-1.00  lead
t=  53.6  road/lane=    173/2  s_route=  306.6m  v= 0.00→ 0.00 m/s  steer=+0.037  accel=-1.00  lead
t=  54.6  road/lane=    173/2  s_route=  306.6m  v= 0.00→ 0.00 m/s  steer=+0.037  accel=-1.00  lead
t=  55.7  road/lane=    173/2  s_route=  306.6m  v= 0.00→ 0.00 m/s  steer=+0.037  accel=-1.00  lead
t=  56.8  road/lane=    173/2  s_route=  306.6m  v= 0.00→ 0.00 m/s  steer=+0.037  accel=-1.00  lead
t=  57.8  road/lane=    173/2  s_route=  306.6m  v= 0.00→ 0.00 m/s  steer=+0.037  accel=-1.00  lead
t=  58.8  road/lane=    173/2  s_route=  306.6m  v= 0.00→ 0.00 m/s  steer=+0.037  accel=-1.00  lead
t=  59.9  road/lane=    173/2  s_route=  306.6m  v= 0.00→ 0.00 m/s  steer=+0.037  accel=-1.00  lead
t=  60.9  road/lane=    173/2  s_route=  306.6m  v= 0.00→ 0.00 m/s  steer=+0.037  accel=-1.00  lead
t=  62.0  road/lane=    173/2  s_route=  306.6m  v= 0.00→ 0.00 m/s  steer=+0.037  accel=-1.00  lead
t=  63.0  road/lane=    173/2  s_route=  306.6m  v= 0.00→ 0.00 m/s  steer=+0.037  accel=-1.00  lead
t=  64.0  road/lane=    173/2  s_route=  306.6m  v= 0.00→ 0.00 m/s  steer=+0.037  accel=-1.00  lead
t=  65.0  road/lane=    173/2  s_route=  306.6m  v= 0.00→ 0.00 m/s  steer=+0.037  accel=-1.00  lead
t=  66.1  road/lane=    173/2  s_route=  306.6m  v= 0.00→ 0.00 m/s  steer=+0.037  accel=-1.00  lead
t=  67.1  road/lane=    173/2  s_route=  306.6m  v= 0.00→ 0.00 m/s  steer=+0.037  accel=-1.00  lead
t=  68.2  road/lane=    173/2  s_route=  306.6m  v= 0.00→ 0.00 m/s  steer=+0.037  accel=-1.00  lead
t=  69.2  road/lane=    173/2  s_route=  306.6m  v= 0.00→ 0.00 m/s  steer=+0.037  accel=-1.00  lead
t=  70.2  road/lane=    173/2  s_route=  306.6m  v= 0.00→ 0.00 m/s  steer=+0.037  accel=-1.00  lead
t=  71.2  road/lane=    173/2  s_route=  306.6m  v= 0.00→ 0.00 m/s  steer=+0.037  accel=-1.00  lead
t=  72.2  road/lane=    173/2  s_route=  306.6m  v= 0.00→ 0.00 m/s  steer=+0.037  accel=-1.00  lead
t=  73.2  road/lane=    173/2  s_route=  306.6m  v= 0.00→ 0.00 m/s  steer=+0.037  accel=-1.00  lead
t=  74.3  road/lane=    173/2  s_route=  306.6m  v= 0.00→ 0.00 m/s  steer=+0.037  accel=-1.00  lead
t=  75.4  road/lane=    173/2  s_route=  306.6m  v= 0.00→ 0.00 m/s  steer=+0.037  accel=-1.00  lead
t=  76.4  road/lane=    173/2  s_route=  306.6m  v= 0.00→ 0.00 m/s  steer=+0.037  accel=-1.00  lead
t=  77.5  road/lane=    173/2  s_route=  306.6m  v= 0.00→ 0.00 m/s  steer=+0.037  accel=-1.00  lead
t=  78.5  road/lane=    173/2  s_route=  306.6m  v= 0.00→ 0.00 m/s  steer=+0.037  accel=-1.00  lead
t=  79.5  road/lane=    173/2  s_route=  306.6m  v= 0.00→ 0.00 m/s  steer=+0.037  accel=-1.00  lead
t=  80.6  road/lane=    173/2  s_route=  306.6m  v= 0.00→ 0.00 m/s  steer=+0.037  accel=-1.00  lead
t=  81.6  road/lane=    173/2  s_route=  306.6m  v= 0.00→ 0.00 m/s  steer=+0.037  accel=-1.00  lead
t=  82.6  road/lane=    173/2  s_route=  306.6m  v= 0.00→ 0.00 m/s  steer=+0.037  accel=-1.00  lead

[main] 중단
[main] 틱 1663회 종료
